NU_ANO_CENSO;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_DEPENDENCIA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;DS_ENDERECO;DS_COMPLEMENTO;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;QT_MAT_BAS
2019;Assis Brasil;1200054;ESC INDIGENA KUSHU;12026212;2;2;2.0;ALDEIA CUJUBIM BOCA DO MAMOADATE;RIO IACO;0.0;0.0;0.0;1.0;13.0
2019;Assis Brasil;1200054;ESC INDIGENA BELO HORIZONTE;12026891;2;2;2.0;BOCA DO MAMOADATE;RIO IACO;0.0;0.0;0.0;1.0;43.0
2019;Assis Brasil;1200054;ESC NOVA CONQUISTA;12026964;3;2;0.0;BR 317 KM 88 MAIS 06 KM DE RAMAL;;1.0;0.0;0.0;0.0;16.0
2019;Assis Brasil;1200054;ESC INDIGENA ANANAIA;12027022;2;2;2.0;TERRA INDIGENA CABECEIRA DO RIO ACRE;;0.0;0.0;0.0;1.0;17.0
2019;Assis Brasil;1200054;ESC INDIGENA PORTO ALEGRE;12027464;2;2;2.0;TERRA INDIGENA MAMOADATE ALDEIA SANTA CRUZ RIO IAC;;0.0;0.0;1.0;0.0;33.0
2019;Assis Brasil;1200054;ESC ANTONIO RODRIGUES DOS ANJOS;12027499;3;2;0.0;SGAL GUANABARA COL. NATAL;ZONA RURAL;0.0;0.0;0.0;1.0;6.0
2019;Assis Brasil;1200054;ESC FRANCISCO CHAGAS DE SOUZA;12027502;3;2;1.0;SGAL. SAO FRANCISCO COL. AGUA MORTA;;1.0;0.0;0.0;0.0;16.0
2019;Assis Brasil;1200054;ESC SANDOVAL BATISTA DE ARAUJO;12028223;2;2;0.0;COLOCACAO BAIXA VERDE SERINGAL ICURIA;RAMAL DO ICURIA;1.0;0.0;0.0;0.0;272.0
2019;Assis Brasil;1200054;ESC SARA LOPES PEREIRA;12029220;3;2;1.0;SGAL SAO PEDRO COL. CAMPO ALEGRE;ZONA RURAL;1.0;0.0;0.0;0.0;24.0
2019;Assis Brasil;1200054;ESC INDIGENA HIMATKALTSHI;12029270;2;2;2.0;TERRA INDIGINA CABACEIRA DO RIO ACRE;RIO ACRE;0.0;0.0;0.0;1.0;19.0
2019;Assis Brasil;1200054;ESC INDIGENA PIYAKATI;12029289;2;2;2.0;ALDEIA TRES CACHOEIRAS;RIO ACRE;0.0;0.0;1.0;0.0;40.0
2019;Assis Brasil;1200054;ESC SANTA ROSA;12029297;3;2;1.0;SGAL. SAO PEDRO COL. SANTA ROSA;;0.0;0.0;0.0;1.0;5.0
2019;Assis Brasil;1200054;ESC INDIGENA SAO RAIMUNDO NONATO;12029505;2;2;2.0;TERRA MANCHINERI DO GUANABARA RIO IACO;;0.0;0.0;0.0;1.0;26.0
2019;Assis Brasil;1200054;ESC NAPOLEAO PARDO;12029602;3;2;0.0;SGAL GUANABARA COL. PAU FURADO;;0.0;0.0;0.0;1.0;40.0
2019;Assis Brasil;1200054;ESC MARIA FERREIRA DA SILVA;12030244;3;1;0.0;JUVENAL DUARTE DE SOUSA;;1.0;0.0;0.0;0.0;233.0
2019;Assis Brasil;1200054;ESC INDIGENA HOSHA;12030660;2;2;2.0;ALDEIA NOVA ESPERANCA;RIO IACO;0.0;0.0;0.0;1.0;9.0
2019;Assis Brasil;1200054;ESC INDIGENA KATAHIRI;12030678;2;2;2.0;ALDEIA CACHOEIRA IACO;;0.0;0.0;0.0;1.0;9.0
2019;Assis Brasil;1200054;ESC INDIGENA HOMHA;12031941;2;2;2.0;RIO IACO;;0.0;0.0;0.0;1.0;20.0
2019;Assis Brasil;1200054;ESC INDIGENA USHE;12031950;2;2;2.0;TERRA INDIGENA GUAJARA;;0.0;0.0;0.0;1.0;14.0
2019;Assis Brasil;1200054;ESC INDIGENA HIXTIWURU;12031968;2;2;2.0;TERRA INDIGENA MAMOADATE;;0.0;0.0;0.0;1.0;23.0
2019;Assis Brasil;1200054;ESC INDIGENA EMILIO PANDALIA;12032000;2;2;2.0;ALDEIA CUMARU TERRA INDIGENA MAMOADATE;RIO IACO;0.0;0.0;0.0;1.0;14.0
2019;Assis Brasil;1200054;ESC INDIGENA YONPIXWALU HIMATKALU;12032220;2;2;2.0;TERRA INDIGENA MAMOADATE;;0.0;0.0;0.0;1.0;16.0
2019;Assis Brasil;1200054;ESC INDIGENA HOTAWAKALU;12032425;2;2;2.0;ALDEIA AGUA PRETA MAMOADATE;RIO IACO;0.0;0.0;0.0;1.0;14.0
2019;Assis Brasil;1200054;ESC HUMAITA;12032743;3;2;0.0;SGAL PARAGUACU COLOCACAO HUMAITA;;0.0;0.0;0.0;1.0;21.0
2019;Assis Brasil;1200054;ESC MARIA SOCORRO RODRIGUES DE ARAUJO;12032891;3;2;0.0;SGAL ICURIA, COL PRIMAVERA;ZONA RURAL;0.0;0.0;0.0;1.0;19.0
2019;Assis Brasil;1200054;ESCOLA INDIGENA NOVA VIDA;12033030;2;2;2.0;ALDEIA LIBERDADE;;0.0;0.0;0.0;1.0;14.0
2019;Assis Brasil;1200054;ESC VICENTE BESSA;12033103;3;1;0.0;RUA CRUZEIRO DO SUL;;1.0;0.0;0.0;0.0;146.0
2019;Assis Brasil;1200054;ESCOLA INDIGENA XINA VEDA;12033430;2;2;2.0;ALDEIA VIDA NOVA;;0.0;0.0;0.0;1.0;11.0
2019;Assis Brasil;1200054;ESCOLA INDIGENA MANOEL RUFINO;12033448;2;2;2.0;ALDEIA MULATEIRO;;0.0;0.0;0.0;1.0;7.0
