NU_ANO_CENSO;SG_UF;CO_UF;NO_MUNICIPIO;CO_MUNICIPIO;CO_ENTIDADE;NO_ENTIDADE;TP_DEPENDENCIA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;DS_ENDERECO;NU_ENDERECO;DS_COMPLEMENTO;NO_BAIRRO;CO_CEP;NU_DDD;NU_TELEFONE;TP_SITUACAO_FUNCIONAMENTO;CO_ESCOLA_SEDE_VINCULADA;IN_LOCAL_FUNC_PREDIO_ESCOLAR;TP_OCUPACAO_PREDIO_ESCOLAR;IN_AGUA_POTAVEL;IN_AGUA_REDE_PUBLICA;IN_AGUA_POCO_ARTESIANO;IN_AGUA_CACIMBA;IN_AGUA_FONTE_RIO;IN_AGUA_INEXISTENTE;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_FOSSA;IN_ESGOTO_INEXISTENTE;IN_BANHEIRO;IN_COZINHA;QT_MAT_BAS;IN_AGUA_CARRO_PIPA
2019;AC;12;Assis Brasil;1200054;12016128;ESC TANCREDO DE ALMEIDA NEVES;3;2;0.0;SGAL. SAO FRANCISCO, COL. AMELIA;;ZONA RURAL;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;21.0;
2019;AC;12;Assis Brasil;1200054;12018503;ESC MARIA FERREIRA DE MEDEIROS;3;2;1.0;SGAL. PARAGUACU COL. BACIA;;;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;21.0;
2019;AC;12;Assis Brasil;1200054;12019844;ESC IDELZUITE RIBEIRO;3;2;0.0;BR 317, KM 88, RAMAL DO JACU;;;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;22.0;
2019;AC;12;Assis Brasil;1200054;12019887;ESC BAIXA VERDE;3;2;0.0;SGAL. ICURIA COL. DIVISAO - RESEX CHICO MENDES;;;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;39.0;
2019;AC;12;Assis Brasil;1200054;12019933;ESC 15 DE NOVEMBRO;3;2;0.0;SGAL. PARAGUACU, COL. SAO FELIX;;ZONA RURAL;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;11.0;
2019;AC;12;Assis Brasil;1200054;12021164;ESC LEDA BATISTA DA SILVA;3;2;0.0;SGAL. PARAGUACU COL. CASTELO;;;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;13.0;
2019;AC;12;Assis Brasil;1200054;12021733;ESC INDIGENA BETEL;2;2;2.0;TERRA INDIGENA MAMOADATE;;RIO IACO;;69935000.0;.;.;1;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;50.0;
2019;AC;12;Assis Brasil;1200054;12021741;ESC INDIGENA SETE ESTRELAS;2;2;2.0;TERRA INDIGENA MAMOADATE ALDEIA EXTREMA;;RIO IACO;;69935000.0;68;35481122;1;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;138.0;
2019;AC;12;Assis Brasil;1200054;12021750;ESC INDIGENA KAJPAHA;2;2;2.0;TERRA INDIGENA MAMOADATE RIO IACO;;;;69935000.0;.;.;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;52.0;
2019;AC;12;Assis Brasil;1200054;12022047;ESC MARCIONILIA ALMIRA DE ARAUJO;3;2;0.0;SGAL. ICURIA COL.BOM SUCESSO;;;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;8.0;
2019;AC;12;Assis Brasil;1200054;12022063;ESC MANOEL SABOIA DOS SANTOS;3;2;0.0;SGAL. GUANABARA COL. DIVISAO II;;;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;12.0;
2019;AC;12;Assis Brasil;1200054;12022071;ESC HENRIQUE PASCOAL;3;2;0.0;SGAL. ICURIA, COL MULUNGU RESEX CHICO MENDES;;ZONA RURAL;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;7.0;
2019;AC;12;Assis Brasil;1200054;12022080;ESC ALTAMIRA;3;2;1.0;SGAL. PA SANTA QUITERIA COL. ALTAMIRA;;ZONA RURAL;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;22.0;
2019;AC;12;Assis Brasil;1200054;12022098;ESC SIMON BOLIVAR;3;1;0.0;RUA DOM GIOCONDO MARIA GROTTI;019;PROXIMO MARCO RONDON;CENTRO;69935000.0;68;35481067;1;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;228.0;
